Time (h),V_analytical (L),X_mean (g/L),X_std (g/L),X_lower95 (g/L),X_upper95 (g/L),X_sig_total (g/L),S_mean (g/L),S_std (g/L),S_lower95 (g/L),S_upper95 (g/L),S_sig_total (g/L),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L),P_sig_total (g/L),M_mean (g/L),M_std (g/L),M_lower95 (g/L),M_upper95 (g/L),M_sig_total (g/L),O2_mean (mg/L),O2_std (mg/L),O2_lower95 (mg/L),O2_upper95 (mg/L),O2_sig_total (mg/L)
15.0,12880.0,41.672962,7.6293945e-06,41.672955,41.672955,1.5238575,24.272528,5.722046e-06,24.272533,24.272533,0.88757485,29.868471,1.9073486e-06,29.868473,29.868473,1.0922021,110.63899,3.8146973e-05,110.63903,110.63903,4.045742,4.0771604,9.313226e-07,4.0771613,4.0771613,0.14908974
16.0,13072.0,43.791775,0.5973144,42.549374,44.964375,1.7091116,24.391613,0.40026197,23.547419,25.013857,0.9776235,31.725782,0.73023623,30.537994,33.001595,1.3708099,110.25558,0.28878945,109.75539,110.72002,4.0420513,4.0393357,0.057021372,3.9490569,4.1534715,0.1583309
17.0,13264.0,45.674683,1.0439354,44.083614,47.640484,1.9696019,24.494787,0.7658298,23.054516,26.182396,1.1784642,33.249397,0.7262797,32.02573,34.472126,1.4162382,109.819336,0.40873787,109.09628,110.49433,4.036517,3.9879367,0.06270789,3.8958428,4.100986,0.15873821
18.0,13456.0,47.471146,1.0630115,45.633163,49.39934,2.0355031,24.761469,0.8833321,23.118,26.427485,1.2649595,34.66985,0.7601258,33.4777,35.886917,1.478189,109.38074,0.5391824,108.44814,110.27792,4.0359097,3.9391084,0.051408987,3.8667543,4.04175,0.15294072
19.0,13648.0,49.21641,1.0992136,47.296192,51.39956,2.1088355,25.086876,0.9811378,23.043804,26.97286,1.3431933,36.047955,0.91597974,34.422188,37.554592,1.6051743,109.002975,0.7317469,107.80822,110.10856,4.0525293,3.8774009,0.03853013,3.8042665,3.9422107,0.14692716
20.0,13840.0,50.591637,1.4126469,48.054874,53.160324,2.3276649,25.553556,1.1259823,23.689962,27.752853,1.4632066,37.160236,0.80894864,35.55202,38.505913,1.581406,108.72043,0.72490275,107.341965,109.796265,4.0411344,3.823958,0.04817588,3.731031,3.906316,0.14789723
21.0,14032.0,51.692795,1.2348795,49.8005,54.24241,2.2578719,25.99436,1.1489794,24.161228,28.314056,1.4911991,38.13254,0.84030503,36.941498,40.102573,1.62802,108.34514,0.87394226,106.6583,109.740395,4.057109,3.759552,0.053138085,3.6759257,3.8586662,0.14738804
22.0,14224.0,52.878014,1.1647398,51.20024,55.3749,2.2572997,26.437534,1.1347201,24.373285,28.507305,1.4906982,39.1457,0.723701,37.810448,40.52252,1.6039863,108.028404,0.8672578,106.44982,109.41733,4.0443606,3.7267308,0.045845196,3.6524696,3.8214107,0.14378043
23.0,14416.0,53.683674,1.3470362,51.73362,56.47696,2.3807745,27.14844,1.2684122,25.29182,29.438847,1.6107138,39.910786,0.78952545,38.72828,41.7089,1.659294,107.65979,0.91092515,106.0955,109.324814,4.0408154,3.6594048,0.065776385,3.556896,3.7803416,0.1491061
24.0,14608.0,54.928307,1.2690715,52.537094,56.86064,2.375896,27.637854,1.3659397,25.20001,29.8561,1.6991687,40.761955,0.73437124,39.65228,42.049725,1.6616331,107.20916,0.9919989,105.58376,109.01959,4.043884,3.6067967,0.0665967,3.49343,3.7367344,0.14775003
25.0,14800.0,56.244648,1.2507763,54.36424,58.583725,2.4071686,28.071848,1.466236,25.573975,30.860256,1.7898492,41.907497,0.70910233,40.692474,43.181484,1.6885434,106.91792,1.1514125,105.00199,108.792336,4.075696,3.5693026,0.058112755,3.4821975,3.6924393,0.14287151
26.0,14992.0,57.226215,1.5037261,54.189697,60.026737,2.5768473,28.629412,1.5715001,25.806547,31.87957,1.8882791,42.870983,0.8273865,41.46749,44.401108,1.7726094,106.721,1.2034332,104.686424,108.904625,4.083815,3.538848,0.06216295,3.4359565,3.6589837,0.14356166
27.0,15184.0,57.990078,1.9250469,53.740715,61.918873,2.8639898,29.326618,1.5662531,26.441677,32.319702,1.8982004,43.61981,0.8237708,42.077457,45.14751,1.7952093,106.44873,1.198606,104.74907,108.70909,4.072879,3.5092778,0.06307703,3.404565,3.6231804,0.14298864
28.0,15376.0,58.692173,1.6843975,55.81459,62.663223,2.7282538,30.093512,1.5047388,27.437225,32.58892,1.8641855,44.285812,0.81156886,42.776615,45.62263,1.8113823,106.033424,1.1812236,103.96692,108.00245,4.0532675,3.4686894,0.06867733,3.3495526,3.6156414,0.14423904
29.0,15568.0,59.268223,1.5094758,57.259663,63.437344,2.641127,30.846823,1.4932076,27.849403,33.120804,1.8713638,44.577175,0.7357754,43.41064,45.738663,1.7884206,105.65747,1.1973455,103.74779,107.800835,4.044862,3.4408057,0.058684256,3.3463793,3.557114,0.13883281
