Time (h),V_analytical (L),X_mean (g/L),X_std (g/L),X_lower95 (g/L),X_upper95 (g/L),X_sig_total (g/L),S_mean (g/L),S_std (g/L),S_lower95 (g/L),S_upper95 (g/L),S_sig_total (g/L),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L),P_sig_total (g/L),M_mean (g/L),M_std (g/L),M_lower95 (g/L),M_upper95 (g/L),M_sig_total (g/L),O2_mean (mg/L),O2_std (mg/L),O2_lower95 (mg/L),O2_upper95 (mg/L),O2_sig_total (mg/L)
15.0,11800.0,41.672962,7.6293945e-06,41.672955,41.672955,1.5238575,24.272528,5.722046e-06,24.272533,24.272533,0.88757485,29.868471,1.9073486e-06,29.868473,29.868473,1.0922021,110.63899,3.8146973e-05,110.63903,110.63903,4.045742,4.0771604,9.313226e-07,4.0771613,4.0771613,0.14908974
16.0,11920.0,44.588074,0.7592991,43.120182,45.80164,1.7985876,23.867428,0.37634557,23.24095,24.496763,0.9504466,32.059906,0.6079193,31.038914,33.44069,1.3205826,110.015305,0.23051529,109.61658,110.42402,4.029535,4.0659356,0.060286723,3.9553223,4.177749,0.16043696
17.0,12040.0,46.712524,0.8738261,45.33718,48.257828,1.9186746,23.681492,0.47718644,22.807787,24.367556,0.98873544,33.757362,0.58859915,32.802296,35.016273,1.3675563,109.34266,0.2802728,108.85004,109.87923,4.00815,4.000538,0.047108855,3.9001698,4.076952,0.153686
18.0,12160.0,48.79115,1.0822616,47.26365,51.093445,2.086738,23.596905,0.562804,22.54252,24.535284,1.0301902,35.26335,0.68662477,34.099937,36.654366,1.4608916,108.74822,0.40932608,108.02388,109.54457,3.9976134,3.9322445,0.047224686,3.8451781,4.0157266,0.15134698
19.0,12280.0,50.37757,1.0021995,48.76305,52.36048,2.09713,23.792593,0.66791373,22.576887,24.782244,1.0968374,36.42625,0.65627,35.426876,37.595695,1.4848961,108.179214,0.4514323,107.28678,108.90413,3.9814703,3.8688197,0.04463073,3.803221,3.9462495,0.14834434
20.0,12400.0,51.80287,0.9828082,50.093616,53.513412,2.1340578,23.942844,0.65731215,22.698456,25.171059,1.0948029,37.639217,0.6221003,36.616745,38.871788,1.510418,107.618996,0.5289054,106.268845,108.52,3.970693,3.8080924,0.043630496,3.7539163,3.9050658,0.14592595
21.0,12520.0,53.20018,1.1712813,50.89315,54.937767,2.2707663,24.19167,0.74449354,22.91105,25.916548,1.1562092,38.78296,0.63403624,37.82237,39.94146,1.5534582,107.00361,0.57253397,105.748985,108.1847,3.9544723,3.760126,0.053049877,3.6837187,3.8867157,0.14737587
22.0,12640.0,54.440987,0.9915558,52.786034,56.248894,2.2240176,24.495731,0.8550345,23.163559,26.215488,1.2383167,39.74318,0.69562906,38.511,40.92286,1.6111966,106.47207,0.61287427,105.160706,107.68953,3.9413126,3.6848202,0.05658001,3.5850985,3.8074923,0.14614028
23.0,12760.0,55.848877,1.1081039,53.69909,57.93209,2.3234873,24.782518,0.83380485,23.458422,26.357386,1.2314512,40.82059,0.7244884,39.370686,41.92036,1.6592176,106.08154,0.6876773,104.83055,107.433426,3.939573,3.6431172,0.055019084,3.545319,3.732488,0.1441324
24.0,12880.0,56.829113,1.0192051,55.145336,58.79821,2.3145554,25.17317,0.9041521,23.715733,26.64781,1.2902819,41.689133,0.59021294,40.55097,42.715553,1.6347157,105.556305,0.77937084,104.22055,107.08689,3.9377806,3.606827,0.049136445,3.5138173,3.6998801,0.14074671
25.0,13000.0,57.934998,1.1787372,56.114666,59.964176,2.4243588,25.603594,1.0533146,23.50292,27.40122,1.4092665,42.492996,0.5423609,41.440422,43.374863,1.6457782,105.023674,0.81412387,103.48918,106.538895,3.9257507,3.557832,0.057206184,3.455645,3.6514604,0.1421211
26.0,13120.0,58.997295,1.2034706,56.77247,61.032364,2.4703302,25.8959,1.0926602,23.566883,27.60372,1.4458892,43.39138,0.5552581,42.57846,44.478798,1.6810449,104.543625,0.86832654,102.99133,106.1132,3.9202285,3.528893,0.0678437,3.4275177,3.6489353,0.14578891
27.0,13240.0,59.68249,1.2493079,57.904152,62.141888,2.5146961,26.406378,0.9424977,24.688532,27.726988,1.3493302,44.091255,0.5020863,43.20123,45.179344,1.6886566,104.03881,0.949045,102.146286,105.64816,3.920981,3.483544,0.055201404,3.3869278,3.5869322,0.13882944
28.0,13360.0,60.72079,1.1005847,59.18603,63.128456,2.4781802,26.88994,1.0301265,25.273445,28.714998,1.4240828,44.720524,0.5333719,43.56191,45.571697,1.7200828,103.47909,0.94586414,101.82118,105.06294,3.9003527,3.4657872,0.0641527,3.3579977,3.5846128,0.14204569
29.0,13480.0,61.432907,1.3741847,59.18098,63.679405,2.6333985,27.29884,1.2302321,25.450598,29.8253,1.5842824,45.565754,0.61211187,43.87999,46.284637,1.7750834,102.966576,0.91274965,101.43463,104.396866,3.8742387,3.4212267,0.0766081,3.3216748,3.5645208,0.14669648
30.0,13600.0,62.360767,1.4264183,60.23517,64.92636,2.6897328,27.808668,1.1273794,26.25228,30.157001,1.5182331,46.314034,0.73619825,44.87472,47.339344,1.8466617,102.397705,0.9962906,100.82804,104.1723,3.8746605,3.3844116,0.06360467,3.2747164,3.4790018,0.13914591
31.0,13720.0,63.237305,1.3150502,61.414845,65.52983,2.6601806,28.059855,1.1427101,26.29929,30.055653,1.5357728,47.18809,0.7209847,45.99881,48.528362,1.8700993,101.90166,1.0489317,100.29492,103.88521,3.8710656,3.3395653,0.05406715,3.251086,3.4247391,0.13355179
32.0,13840.0,63.96236,1.233209,62.089226,66.40444,2.644112,28.475319,1.3500578,26.359995,30.69608,1.7049562,47.74558,0.81137806,46.44185,49.147285,1.9252412,101.41481,1.1057924,99.66177,103.43663,3.8697948,3.323326,0.063028485,3.2149436,3.4266489,0.13689679
33.0,13960.0,64.5595,1.1404641,63.045433,67.16776,2.621794,29.049198,1.3013309,26.76026,31.142473,1.6798284,48.22508,0.640238,47.201298,49.334045,1.876075,100.82005,1.1494757,98.978966,103.08024,3.8617349,3.2788231,0.059746988,3.1618164,3.376481,0.13395883
34.0,14080.0,65.04256,1.2887961,62.976448,67.438866,2.7051528,29.655151,1.3646243,27.567684,31.851332,1.7430221,48.69362,0.7096266,47.74992,50.420277,1.9167793,100.36616,1.1761473,98.1311,102.63843,3.8539484,3.2495105,0.06743891,3.12164,3.3536868,0.13662867
35.0,14200.0,65.91596,1.3237625,63.573994,68.23997,2.7499359,30.192295,1.4966239,27.91987,32.889435,1.8597835,49.388676,0.8175785,48.04588,50.99008,1.9824392,99.85835,1.1193955,97.65691,101.988266,3.819252,3.2377138,0.070835546,3.0887628,3.3397787,0.13796642
36.0,14320.0,66.478714,1.4366606,63.762836,68.82799,2.8237243,30.762543,1.4246461,28.43942,33.18554,1.8152153,49.971317,0.60084516,48.993908,51.073215,1.9235525,99.315575,1.044518,97.490944,101.64453,3.7789025,3.2175455,0.070758514,3.0990977,3.3427567,0.13729435
37.0,14440.0,66.56381,1.2413285,64.350365,68.7886,2.732299,31.558214,1.3733033,29.163254,33.818962,1.793783,50.11208,0.68784386,48.915905,51.29652,1.9572957,98.78957,1.098663,96.96793,101.09469,3.775819,3.2210944,0.054763593,3.0925264,3.2986462,0.12989448
38.0,14560.0,67.08938,1.3596836,64.78622,69.56915,2.804858,32.094517,1.5029755,29.374699,34.821033,1.9069024,50.653034,0.7450701,48.87895,51.73744,1.9964703,98.339775,1.146939,96.43914,100.65026,3.7744741,3.1897902,0.05139198,3.1114135,3.27398,0.12746103
39.0,14680.0,67.41254,1.4115125,65.26997,70.17439,2.8405943,32.74154,1.4812055,30.334341,35.287857,1.9045748,51.08381,0.6415452,49.97707,52.06326,1.9750813,97.74321,1.1880838,95.79839,100.0725,3.7664723,3.1537206,0.058888752,3.0476203,3.2412775,0.12948789
40.0,14800.0,68.04023,1.3411424,66.21572,70.73952,2.826475,33.420307,1.590527,30.477354,35.980576,2.005807,51.54069,0.800717,50.28267,53.0093,2.0477326,97.329994,1.2275866,95.33213,99.91982,3.7648318,3.1706967,0.06432403,3.0724297,3.2783697,0.13259098
41.0,14920.0,68.48714,1.1779119,66.81792,71.0142,2.7675548,34.07609,1.5231073,31.379862,36.813976,1.9678738,51.95125,0.56934994,51.03594,52.92168,1.9831882,96.80378,1.0578107,95.070244,98.92683,3.694503,3.147283,0.061624285,3.0407674,3.2563794,0.13054708
42.0,15040.0,68.99905,1.0746118,67.27721,70.76829,2.7424045,34.731865,1.5587744,31.73573,37.27846,2.0106676,52.42463,0.6275402,51.37047,53.594715,2.0171144,96.31912,1.0773834,94.49624,98.35716,3.683204,3.1166348,0.061498504,3.0256062,3.2262952,0.12950039
43.0,15160.0,69.03592,0.99887574,67.54032,70.81174,2.714876,35.412613,1.688523,32.0003,38.40229,2.127902,52.729744,0.5300819,51.90117,53.88858,1.9997079,95.849075,1.1310269,94.00413,97.90552,3.6828895,3.104205,0.06841911,2.9994702,3.2370868,0.13253702
44.0,15280.0,69.29244,1.2544072,67.29777,71.81839,2.8273282,36.010193,1.7275293,32.780476,38.936558,2.1721613,53.26719,0.47730783,52.54579,54.205185,2.005453,95.336624,1.1111141,93.55842,97.29945,3.6589646,3.078559,0.061513,2.96673,3.194554,0.12828374
45.0,15400.0,69.919655,1.3528454,67.065895,71.616196,2.8926098,36.755466,1.6153809,33.656757,39.03962,2.1014035,53.72599,0.62636137,52.68476,54.665363,2.0620346,94.81075,1.1134578,92.61722,96.747154,3.6413639,3.0762615,0.059573278,2.9708428,3.1783898,0.12729076
46.0,15520.0,70.09526,1.6494588,67.0215,72.72846,3.0480473,37.267406,1.6026165,34.356762,39.678482,2.1036856,54.104897,0.65565234,52.950245,55.32585,2.0842676,94.35191,1.16163,92.02711,96.335144,3.6404762,3.0490983,0.05179956,2.9619536,3.1382387,0.122941755
47.0,15640.0,70.4994,1.3715017,68.50301,73.37556,2.9200804,37.828823,1.7242056,34.668766,40.30172,2.210514,54.384407,0.7075178,53.184986,55.662403,2.1107867,93.88778,1.1303897,91.65916,95.7951,3.614504,3.0470262,0.059193168,2.9348223,3.1552453,0.12616822
48.0,15760.0,70.52093,1.2273892,68.56201,73.00597,2.8559406,38.56347,1.8746586,35.31868,41.46365,2.3458207,54.444527,0.7380706,53.40477,55.944527,2.123284,93.42252,1.1667882,91.12739,95.52045,3.6099482,3.0438883,0.06231671,2.939786,3.1611297,0.12756334
49.0,15880.0,70.82057,1.616372,67.797585,73.69778,3.052737,39.135788,1.8655792,36.23677,42.532436,2.3512502,54.88988,0.7612313,53.44153,56.30302,2.1466649,92.89193,1.1566561,90.71831,95.10223,3.5883138,3.0232966,0.066659555,2.8839226,3.1312664,0.12909482
50.0,16000.0,71.0386,1.3895363,68.76502,74.2848,2.9459653,39.747124,1.9113714,37.034588,43.634842,2.401211,55.17893,0.5760657,54.219757,56.27384,2.098354,92.344376,1.2122022,90.13025,94.63389,3.5877507,3.0109036,0.070287034,2.8980246,3.1354089,0.13062255
51.0,16120.0,71.566284,1.4883181,69.683304,75.33077,3.0105834,40.286465,1.825731,37.34687,43.731422,2.345951,55.600296,0.55999374,54.677322,56.54524,2.1088498,91.859024,1.1814305,89.616066,94.05019,3.5607235,3.0114286,0.07562259,2.8907585,3.1559477,0.13358513
52.0,16240.0,71.50122,1.5943954,68.96046,74.68825,3.06238,40.99315,1.7437457,38.329918,44.238037,2.2994883,55.768997,0.7678364,54.496742,57.458626,2.179071,91.34306,1.2503324,88.98077,93.510956,3.5664985,2.9728847,0.06723663,2.8752687,3.098826,0.12782234
53.0,16360.0,71.75389,1.52318,68.88511,74.27193,3.0339007,41.409203,1.7050459,39.173332,44.692192,2.2803557,56.225163,0.81168056,54.79986,57.46526,2.2104104,90.8242,1.3030276,88.565506,93.074356,3.5676427,2.9625297,0.066706106,2.8575056,3.0794399,0.12722148
54.0,16480.0,71.760254,1.2938694,69.58106,74.04492,2.9257128,42.134644,1.6680679,39.53643,45.458927,2.2707553,56.268974,0.7705571,54.860985,57.751873,2.197143,90.30083,1.3764433,88.067276,92.59842,3.577434,2.9877434,0.0637897,2.880921,3.1102319,0.12651221
55.0,16600.0,72.20855,1.5636624,69.929665,74.69733,3.0687194,42.759678,1.9748996,39.969772,46.543266,2.5189402,56.710777,0.73005164,55.596443,58.067265,2.1984992,89.77707,1.3971914,87.348564,92.1638,3.5678375,2.9741862,0.07270126,2.837645,3.0871732,0.13081898
56.0,16720.0,72.536224,1.5350097,70.39793,75.26201,3.0645833,43.23678,2.0146816,40.257923,47.252884,2.5609832,56.964943,0.48424572,56.33553,58.065258,2.138586,89.24905,1.4882263,86.69615,91.62131,3.5868843,2.9691472,0.057463787,2.8602545,3.076675,0.12284207
57.0,16840.0,72.88133,1.4123769,70.57066,75.505806,3.0161781,44.095375,1.9160439,41.415634,48.253117,2.5042324,57.07966,0.66348183,55.897057,58.287712,2.1901503,88.74595,1.5234854,86.23522,91.13164,3.5849948,2.9654489,0.07038045,2.8541868,3.1069515,0.12927547
58.0,16960.0,72.932274,1.3273162,70.85979,75.982216,2.9789634,44.608974,1.999697,41.864548,47.98384,2.5806322,57.37928,0.5934864,56.427876,58.28977,2.1805122,88.136086,1.5338138,85.645805,90.53825,3.5692465,2.952823,0.07052685,2.818706,3.0996828,0.12896846
59.0,17080.0,73.13664,1.4695691,70.58216,76.456215,3.0515575,45.09481,1.9557654,42.245705,48.71937,2.558157,57.7317,0.7655218,56.69573,59.23564,2.2455902,87.62255,1.578158,84.89211,90.07444,3.5716705,2.9289014,0.064682506,2.8188155,3.0465844,0.125118
60.0,17200.0,73.000694,1.3627907,70.283066,75.46365,2.9971662,45.993008,1.9721506,43.120514,49.455734,2.5918963,57.803394,0.4898648,57.042465,58.804543,2.1697223,87.186005,1.5523509,84.50012,89.74909,3.5459838,2.9384573,0.05731827,2.8478322,3.0552518,0.121782765
61.0,17320.0,73.05883,1.6388835,70.163925,75.86324,3.1341822,46.588547,2.046682,43.45577,50.405205,2.662927,57.981586,0.67837316,56.687405,59.093475,2.2260966,86.72561,1.5806314,84.07381,89.22124,3.5433798,2.9346368,0.058344536,2.8274446,3.0540168,0.12214639
62.0,17440.0,73.49992,1.5418763,70.77082,76.1551,3.0985453,47.209026,2.1493495,43.976303,51.449657,2.756773,58.352547,0.7852559,56.972893,60.087875,2.2736857,86.26017,1.498515,83.79516,88.74219,3.4921386,2.9452507,0.080685094,2.7909837,3.059712,0.13457039
63.0,17560.0,73.763725,1.6028187,71.12559,77.26334,3.1376064,47.99154,2.2713094,44.205544,52.261475,2.870288,58.489815,0.822137,57.14597,60.090637,2.2913697,85.79082,1.4807955,83.334785,88.216415,3.4690433,2.924771,0.060385365,2.823842,3.0120301,0.12282
64.0,17680.0,74.061424,1.193644,71.818344,76.12852,2.9595907,48.668186,2.1880121,45.038483,52.434868,2.8203828,58.789307,0.7999096,57.588116,60.11356,2.2937498,85.30917,1.4804933,82.88488,87.68433,3.4529948,2.915355,0.064350404,2.801922,3.0142438,0.1245223
65.0,17800.0,73.837296,1.3607328,71.6439,76.097206,3.0235178,49.341526,2.026944,45.79916,52.672867,2.7136521,58.803272,0.7568087,57.77574,60.54189,2.2795587,84.88747,1.4389718,82.31836,87.11728,3.4214005,2.8997803,0.06548695,2.7748504,3.0095108,0.1246285
66.0,17920.0,73.82699,1.5146056,70.72992,76.320595,3.0954905,49.90956,2.0891705,46.599995,53.28805,2.7740629,58.98369,0.79932684,57.73515,60.694717,2.3002105,84.48398,1.4155917,82.13299,86.73599,3.3982143,2.9032729,0.07121336,2.7655067,3.0154867,0.12783648
67.0,18040.0,74.377686,1.7086971,71.3859,77.09279,3.2119792,50.53852,2.3217435,46.949085,54.639133,2.9674506,59.286144,0.6900771,57.997894,60.66859,2.2751005,83.939186,1.3726766,81.43687,85.87186,3.3623672,2.8963156,0.08847266,2.7393491,3.0252779,0.13800102
68.0,18160.0,74.42956,1.6650833,71.09147,77.701584,3.1906095,51.047787,2.2527757,47.35429,54.327213,2.9256527,59.624634,0.55941087,58.628677,60.47955,2.2509189,83.4979,1.5079832,80.86221,85.61852,3.4053612,2.8923357,0.054608896,2.8004396,2.9943686,0.11903023
69.0,18280.0,74.504005,1.60343,71.43044,77.21243,3.161218,51.755863,2.2244098,47.375587,55.03996,2.9205787,59.857517,0.7101318,58.617336,61.070026,2.3011281,83.03341,1.5715364,80.34129,85.16177,3.418884,2.8943582,0.08911039,2.7426467,3.0638459,0.13835597
70.0,18400.0,73.99826,1.7850399,70.63147,76.3301,3.241644,52.649387,2.2988849,48.12616,56.383217,2.9985654,59.686726,0.7407633,58.652435,61.291092,2.3048499,82.53655,1.5660923,79.809425,84.695,3.4002478,2.9019575,0.07649835,2.769559,3.0428033,0.13081518
71.0,18520.0,74.45595,1.6243252,71.034676,76.8244,3.1703584,53.081104,2.3679957,48.482418,57.080803,3.0618558,60.06124,0.6915557,59.090897,61.45272,2.3025677,82.03403,1.4297273,79.73969,84.042694,3.3230374,2.8727243,0.07227078,2.7108734,2.980385,0.12750667
72.0,18640.0,74.310234,1.8289602,71.27983,77.162605,3.2754922,53.94746,2.3076165,48.771122,57.66083,3.0358918,60.08425,0.6679539,59.019135,61.195988,2.2963948,81.572586,1.3875878,79.284035,83.77583,3.289819,2.88054,0.07017607,2.7422798,3.0199997,0.12656891
73.0,18760.0,74.77495,1.8596296,71.747055,77.98307,3.3067532,54.574078,2.4491746,48.99468,58.70971,3.159261,60.324833,0.79008865,58.769424,61.704308,2.3431263,81.11587,1.3196471,78.8231,83.085884,3.2464786,2.8847833,0.060790412,2.7710679,2.9868274,0.121750556
