Time (h),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L)
15.0,26.982403,3.8146973e-06,26.982399,26.982399
16.0,30.848654,0.80497545,29.562761,32.291386
17.0,33.879032,0.9385769,32.07516,35.631367
18.0,36.817554,0.981508,35.059437,38.611874
19.0,39.39905,0.82018155,37.979916,40.908108
20.0,41.445488,0.87133276,39.873547,43.01345
21.0,43.196476,0.8925914,41.98891,44.938084
22.0,44.53229,0.74393135,43.387302,45.887074
23.0,45.886356,0.57173866,44.845085,47.03135
24.0,47.26825,0.58232135,46.272926,48.287064
25.0,48.486797,0.60508215,47.520676,49.459694
26.0,49.86841,0.4654612,49.00306,50.733265
27.0,51.229317,0.43186176,50.59688,51.997578
28.0,52.34644,0.45714206,51.66637,53.24182
29.0,53.420994,0.49928275,52.7517,54.542244
30.0,54.331074,0.6038129,53.41563,55.472923
31.0,55.081593,0.5833884,53.948807,56.08608
32.0,55.771614,0.47415328,54.958942,56.706284
33.0,56.43383,0.46979603,55.6048,57.374817
34.0,57.147453,0.43339655,56.4417,58.06889
35.0,57.82786,0.36658582,57.22005,58.51073
36.0,58.42651,0.49257034,57.63885,59.294952
37.0,59.062397,0.38913074,58.4166,59.819515
38.0,59.486122,0.49442548,58.571354,60.36315
39.0,60.06319,0.5009725,59.315674,61.187943
40.0,60.528564,0.50374925,59.669617,61.459915
41.0,60.88002,0.5660673,59.899952,61.90113
42.0,61.342426,0.41642892,60.5453,62.087288
43.0,61.81298,0.45842502,61.1815,62.76586
44.0,62.301327,0.4745044,61.595493,63.236473
45.0,62.69105,0.5242724,61.941452,63.517696
46.0,63.016537,0.5300004,62.076965,64.149574
47.0,63.47792,0.64685094,62.364216,64.82465
48.0,63.742992,0.5129475,62.83752,64.58552
49.0,64.02254,0.51482975,63.026962,64.90545
50.0,64.46339,0.5480848,63.453785,65.379684
