Time (h),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L)
15.0,26.982403,3.8146973e-06,26.982399,26.982399
16.0,31.250483,0.87335485,29.697596,32.628883
17.0,35.419502,1.0572754,33.505806,37.47573
18.0,38.82878,0.9234027,37.204094,40.45437
19.0,41.344376,0.8321172,39.850662,42.797485
20.0,43.154575,0.7305938,41.9552,44.58945
21.0,44.627907,0.5827912,43.293747,45.761135
22.0,46.05137,0.61476684,44.919838,47.206802
23.0,47.433804,0.5183411,46.440704,48.36754
24.0,48.869648,0.55112094,47.783203,49.67783
25.0,50.271633,0.5670424,49.4695,51.33295
26.0,51.602192,0.47477126,50.778362,52.460014
27.0,52.910347,0.4343915,52.22603,53.69395
28.0,53.85698,0.4699828,52.99316,54.63561
29.0,54.840252,0.52843344,53.881474,55.855434
30.0,55.79683,0.33106622,54.973186,56.26173
31.0,56.61866,0.4361199,55.807114,57.285057
32.0,57.348118,0.42092672,56.434315,58.11411
33.0,58.127575,0.40603328,57.475517,58.76438
34.0,58.68086,0.4308029,57.99265,59.648327
35.0,59.12575,0.44614667,58.481125,59.944176
36.0,59.683044,0.370014,59.047817,60.449303
37.0,60.28295,0.42590642,59.568085,61.10115
38.0,60.89319,0.43151507,60.06043,61.75554
39.0,61.34055,0.50645643,60.30929,62.18093
40.0,61.775326,0.6077667,60.58742,62.92301
41.0,62.28206,0.45663428,61.44292,63.157505
42.0,62.798424,0.43952748,62.16223,63.541855
43.0,63.089565,0.4762817,62.514156,63.990578
44.0,63.489357,0.47785115,62.602604,64.1875
45.0,63.883648,0.43258408,63.214886,64.569115
46.0,64.34063,0.44947562,63.457996,64.91375
47.0,64.6876,0.5105593,63.671577,65.619286
48.0,65.136665,0.51078826,64.22541,65.98271
49.0,65.53322,0.5608397,64.79186,66.56234
50.0,65.87314,0.54483867,65.06389,66.80302
