Time (h),X_noisy (g/L),X_clean (g/L),S_noisy (g/L),S_clean (g/L),P_noisy (g/L),P_clean (g/L),M_noisy (g/L),M_clean (g/L),O2_noisy (mg/L),O2_clean (mg/L),V_noisy (L),V_clean (L)
0.0,6.451601812542504,5.0,27.124568354176674,27.0,0.0,0.0,123.40908917714746,123.00000000000001,6.832697096137254,6.999999999999999,10000.0,10000.0
0.5,3.866593221586877,5.535386097295626,27.539181353120068,27.7836899349063,1.0821009139317916,0.4111456309637873,122.3465982632665,122.54459483692523,5.7066302855788535,5.753254625844222,10060.0,10060.0
1.0,8.698691425648734,6.124460673033706,28.58400911411709,28.500500352883194,0.5503708689295632,0.8611317158176743,122.5685671922634,122.09191649535977,5.661279874827042,5.727479964460011,10120.0,10120.0
1.5,4.204346650159348,6.776846473043456,29.246471528019104,29.14109486665228,2.349810195294921,1.3568779811052496,121.1565898589567,121.64194244921671,5.60788828094292,5.698952352405162,10180.000000000002,10180.000000000002
2.0,8.573335923041311,7.496409985665055,29.44486310199489,29.701714134870834,2.559367628532596,1.9012548032702326,121.0459227437437,121.1946504535038,5.913590717296447,5.667513482290528,10239.999999999998,10239.999999999998
2.5,12.306048639811165,8.28640143263376,30.850037790405278,30.179182944725603,2.39542517436054,2.496705459318001,120.4451987024945,120.7500185385005,5.689479175036607,5.633030937870533,10299.999999999995,10299.999999999995
3.0,7.331618673496925,9.149325695727534,30.741408605691582,30.571038012065458,1.9675507567913377,3.1451532492275933,120.35944390826675,120.30802500412264,5.419657918380526,5.595405796783026,10359.99999999999,10359.99999999999
3.5,9.047583764625733,10.086781756316142,30.447343704997053,30.875686850966602,1.7412481676436808,3.8478862181943985,121.32230897026176,119.86864841445973,5.682515194301855,5.554579320975324,10419.999999999993,10419.999999999993
4.0,11.282173329424394,11.09930574395672,31.328632978437252,31.092563631809593,3.9844934685023357,4.60544413127249,118.25918070173016,119.43186759247692,5.806336299780806,5.510540284626996,10479.999999999995,10479.999999999995
4.5,11.262322457563492,12.186237319432308,30.871807855227736,31.222262809758107,6.608481512794836,5.417521621151831,119.4286493139394,118.99766161487746,5.60724045336675,5.46333063641469,10539.999999999993,10539.999999999993
5.0,10.500043312108504,13.345624777677912,31.549638320391853,31.26663546167206,6.580630120262042,6.2828984279700455,117.55318593606364,118.56600980711667,5.2012725644848,5.413049427142805,10599.999999999993,10599.999999999993
5.5,14.700000270883592,14.574182168500023,31.645418003334107,31.228835263181182,5.467006617713471,7.19940620858671,117.84050731789817,118.13689173856461,5.292359541919178,5.3598543424231035,10659.999999999993,10659.999999999993
6.0,13.917901806265915,15.867307265906005,30.818222136341237,31.113305334627658,8.40477413030593,8.163938274331505,118.39417405659484,117.71028721781002,5.480548458322369,5.303960481428458,10719.999999999993,10719.999999999993
6.5,18.08824000364037,17.219163055122348,31.272093113811085,30.92570316119074,9.70834990096887,9.172504278752019,117.32654566681879,117.2861762880989,5.146998029437257,5.245636295683036,10779.999999999993,10779.999999999993
7.0,16.93561182402189,18.622822928324688,30.821182036669022,30.672763198601825,8.991184593147079,10.220330130743868,116.18768990463016,116.86453922290737,5.247058332584333,5.185196713501676,10839.999999999993,10839.999999999993
7.5,22.91471304879634,20.070469399654556,30.657685489643473,30.36210687685915,11.515775493848388,11.301996076206489,115.99612880289924,116.44535652163982,5.230965911591492,5.1229938091942255,10899.99999999999,10899.99999999999
8.0,20.116305244405705,21.55363265334952,30.68402097041935,30.00201317362301,12.492551942062377,12.411603382264497,116.45541243304305,116.02860890544635,4.930206400611488,5.059406287124745,10959.999999999989,10959.999999999989
8.5,22.472447584472082,23.06345415812808,29.512932627165632,29.60116397865501,11.953475762133458,13.542959296064472,115.15558972135503,115.61427731316128,4.986530087855758,4.9948270092362295,11019.999999999987,11019.999999999987
9.0,26.083819061963638,24.59095512431526,28.897371743458574,29.16838389160556,15.187326732761672,14.689766018365475,115.338284032763,115.20234289735309,4.477868511289686,4.929651450071602,11079.999999999987,11079.999999999987
9.5,23.868565724792948,26.127292290020012,28.392559104608797,28.71239146476369,16.625662176879963,15.845801341968135,114.8214072183314,114.79278702048568,4.721482299687446,4.864266220449755,11139.999999999987,11139.999999999987
10.0,28.08139467256285,27.663988960206474,27.948242383535764,28.24157380142966,18.51123879093355,17.005082313640976,113.976370756584,114.38559125117416,4.763834889994702,4.799039015328185,11199.999999999987,11199.999999999987
10.5,31.591831411129018,29.1931283012723,27.736074524809148,27.763797089921745,19.627483570676997,18.162002785295808,115.32718516990371,113.98073736055096,4.5603884876766125,4.734310319406394,11259.999999999985,11259.999999999985
11.0,27.757646708378715,30.70749669312754,27.408929117614278,27.286265068956805,17.395565912932916,19.3114361500906,113.97632352109731,113.5782073187407,4.897920537167448,4.6703874463069655,11319.999999999985,11319.999999999985
11.5,32.53950352940483,32.20068681700267,26.914902870920763,26.815416377576163,19.14461369476242,20.448809841838663,111.9061456474129,113.17798329141144,4.408200554541111,4.607540321002616,11379.999999999984,11379.999999999984
12.0,34.14406029597052,33.667156251083576,26.6542855865036,26.35686492416408,22.286387748498942,21.570148596724206,112.89714537460712,112.7800476364172,4.484663935590041,4.545999385750874,11439.999999999984,11439.999999999984
12.5,36.53694622776287,35.102243745768966,25.920056122749493,25.915381183673418,23.38658977284234,22.67208799577073,111.96876528243037,112.38438290053118,4.50417862935286,4.485955398737426,11499.999999999984,11499.999999999984
13.0,34.232256556827394,36.502152103585445,26.01753631246129,25.49490596608399,24.468120856855517,23.75186443433381,112.52632019679216,111.99097181622089,4.628451764164366,4.427560380083628,11559.999999999984,11559.999999999984
13.5,35.44077349397314,37.863908514122414,25.003426852060777,25.09858643214904,30.165130070162142,24.807288946314614,111.10207545165444,111.59979729871303,4.170792869980706,4.370930024459222,11619.999999999984,11619.999999999984
14.0,40.143099802879746,39.185298635021816,25.70689712092453,24.728837523918113,26.63061740537801,25.836702578241596,111.13878523248452,111.21084244285453,4.478273963848325,4.31614678237925,11679.999999999985,11679.999999999985
14.5,41.009782448270165,40.4647937261659,24.61237440197763,24.38741046902403,28.418112804643567,26.838926634897298,111.14123452538736,110.82409052013104,4.264689918629933,4.263263586922267,11739.999999999985,11739.999999999985
15.0,42.16114404269617,41.7014712356114,23.767269846884364,24.07546802238629,29.139900517318168,27.813208041326718,110.9832398005601,110.43952497589181,4.075499598176734,4.212306845554504,11799.999999999984,11799.999999999984
