Time (h),Lactic Acid P (g/L)
0.0,0.0
0.5,0.0
1.0,1.102888736768172
1.5,1.8096520457264127
2.0,0.9568469237135239
2.5,2.165748193850914
3.0,2.0287055583295412
3.5,1.643096272957584
4.0,2.935220370726061
4.5,4.419578762361555
5.0,3.739629122045276
5.5,5.687600384697383
6.0,3.0255600325485594
6.5,6.594919242889099
7.0,6.858080331758042
7.5,7.472950683929995
8.0,8.784717023157581
8.5,8.16710048019802
9.0,10.722559330671135
9.5,12.374338518980315
10.0,14.518966722700029
10.5,14.190733561833929
11.0,15.279971109811745
11.5,16.88219042169943
12.0,19.40393453705769
12.5,20.319757726830968
13.0,21.02127118181792
13.5,23.2573433640682
14.0,24.30463875302062
14.5,26.376998132970176
15.0,26.373402428300064
