Time (h),P_mean (g/L),P_std (g/L),P_lower95 (g/L),P_upper95 (g/L)
15.0,26.982403,3.8146973e-06,26.982399,26.982399
16.0,31.821388,1.2117391,30.010744,34.00643
17.0,35.681503,1.4107757,33.340736,37.94222
18.0,38.60276,1.1680994,36.301216,40.480206
19.0,40.68926,1.0378442,38.618347,42.328163
20.0,42.48373,1.0871766,39.842323,44.00909
21.0,44.012554,1.0720814,42.220768,45.744804
22.0,45.552364,0.87601435,44.06588,47.444923
23.0,47.184937,0.7097156,45.862476,48.45815
24.0,48.906666,0.6775422,47.741615,50.352287
25.0,50.749844,0.6973091,49.33826,52.319122
26.0,52.44028,0.6927099,50.900726,53.482456
27.0,53.95388,0.6313814,52.676,55.22158
28.0,55.108463,0.6278556,54.166256,56.36949
29.0,56.30025,0.6296949,55.17742,57.543827
30.0,57.37895,0.5881782,56.608776,58.673927
31.0,58.39674,0.521825,57.488617,59.48835
32.0,59.313602,0.43182424,58.542633,60.104553
33.0,60.138073,0.5177475,59.297543,61.19129
34.0,60.854736,0.50519735,60.019176,61.686176
35.0,61.697086,0.5611657,60.855362,62.594627
36.0,62.468426,0.5527694,61.721012,63.66475
37.0,63.060173,0.3405231,62.471905,63.63261
38.0,63.671352,0.32077163,62.985573,64.128784
39.0,64.42812,0.40743646,63.696266,64.98526
40.0,65.00269,0.50106907,63.907726,65.78108
41.0,65.73992,0.3026615,65.17644,66.22076
42.0,66.20794,0.31052694,65.69025,66.79463
43.0,66.77519,0.47348723,65.98998,67.566284
44.0,67.21243,0.5100864,65.936325,67.89197
45.0,67.7007,0.6477604,66.560234,68.6791
46.0,68.23777,0.609891,67.090965,69.176025
47.0,68.86378,0.5405251,67.812614,69.76267
48.0,69.312584,0.72379166,67.85346,70.43206
49.0,69.598915,0.82034135,68.155205,70.817924
50.0,69.975746,0.6619585,68.7421,70.9419
