Time (h),Lactic Acid P (g/L)
0.0,0.9364054132287704
0.5,0.0
1.0,1.2248096611020065
1.5,1.0471252193361245
2.0,1.6794564922662498
2.5,2.8877029414332105
3.0,1.538093733168585
3.5,1.555309821929758
4.0,1.924204145922976
4.5,2.5171419038675684
5.0,3.706269111177146
5.5,4.698744347366538
6.0,5.366530694076603
6.5,6.599187270469947
7.0,6.798235200960432
7.5,8.889397725045054
8.0,8.496651553886709
8.5,11.972010064840797
9.0,11.405783270564841
9.5,11.392935567410333
10.0,12.458974816042002
10.5,14.999558346127351
11.0,15.75280739056559
11.5,17.86479553437335
12.0,19.046566329889288
12.5,19.995190886118596
13.0,20.765036906160596
13.5,21.618171267590117
14.0,23.865293937505506
14.5,26.28627799934522
15.0,27.113854812174743
